excluded_post_id,robot_status,topic,delta_mean_share
69e44278000000001a0217bb,中性,0,0.0
69e44278000000001a0217bb,中性,1,0.0
69e44278000000001a0217bb,中性,2,0.0
69e44278000000001a0217bb,中性,3,0.0
69e44278000000001a0217bb,中性,4,0.0
69e44278000000001a0217bb,中性,5,0.0
69e44278000000001a0217bb,中性,6,0.0
69e44278000000001a0217bb,失败,0,0.0
69e44278000000001a0217bb,失败,1,0.0
69e44278000000001a0217bb,失败,2,0.0
69e44278000000001a0217bb,失败,3,0.0
69e44278000000001a0217bb,失败,4,0.0
69e44278000000001a0217bb,失败,5,0.0
69e44278000000001a0217bb,失败,6,0.0
69e44278000000001a0217bb,弱势,0,0.0
69e44278000000001a0217bb,弱势,1,0.0
69e44278000000001a0217bb,弱势,2,0.0
69e44278000000001a0217bb,弱势,3,0.0
69e44278000000001a0217bb,弱势,4,0.0
69e44278000000001a0217bb,弱势,5,0.0
69e44278000000001a0217bb,弱势,6,0.0
69e44278000000001a0217bb,强势,0,0.0
69e44278000000001a0217bb,强势,1,0.0
69e44278000000001a0217bb,强势,2,0.0
69e44278000000001a0217bb,强势,3,0.0
69e44278000000001a0217bb,强势,4,0.0
69e44278000000001a0217bb,强势,5,0.0
69e44278000000001a0217bb,强势,6,0.0
69e44278000000001a0217bb,成功,0,0.006211024933457349
69e44278000000001a0217bb,成功,1,-0.008616901237719618
69e44278000000001a0217bb,成功,2,0.013889421030269744
69e44278000000001a0217bb,成功,3,-0.021254885693543987
69e44278000000001a0217bb,成功,4,0.043803380194755825
69e44278000000001a0217bb,成功,5,-0.02272109745429736
69e44278000000001a0217bb,成功,6,-0.011310941772921967
69e44f3a000000002301079c,,0,0.0
69e44f3a000000002301079c,,1,0.0
69e44f3a000000002301079c,,2,0.0
69e44f3a000000002301079c,,3,0.0
69e44f3a000000002301079c,,4,0.0
69e44f3a000000002301079c,,5,0.0
69e44f3a000000002301079c,,6,0.0
69e44f3a000000002301079c,中性,0,0.0
69e44f3a000000002301079c,中性,1,0.0
69e44f3a000000002301079c,中性,2,0.0
69e44f3a000000002301079c,中性,3,0.0
69e44f3a000000002301079c,中性,4,0.0
69e44f3a000000002301079c,中性,5,0.0
69e44f3a000000002301079c,中性,6,0.0
69e44f3a000000002301079c,失败,0,0.0
69e44f3a000000002301079c,失败,1,0.0
69e44f3a000000002301079c,失败,2,0.0
69e44f3a000000002301079c,失败,3,0.0
69e44f3a000000002301079c,失败,4,0.0
69e44f3a000000002301079c,失败,5,0.0
69e44f3a000000002301079c,失败,6,0.0
69e44f3a000000002301079c,弱势,0,0.032738356309051794
69e44f3a000000002301079c,弱势,1,-0.028784332857926198
69e44f3a000000002301079c,弱势,2,-0.06468607734757215
69e44f3a000000002301079c,弱势,3,-0.006596256873967532
69e44f3a000000002301079c,弱势,4,0.015413343632674714
69e44f3a000000002301079c,弱势,5,0.025067299178323094
69e44f3a000000002301079c,弱势,6,0.02684766795941633
69e44f3a000000002301079c,强势,0,0.0
69e44f3a000000002301079c,强势,1,0.0
69e44f3a000000002301079c,强势,2,0.0
69e44f3a000000002301079c,强势,3,0.0
69e44f3a000000002301079c,强势,4,0.0
69e44f3a000000002301079c,强势,5,0.0
69e44f3a000000002301079c,强势,6,0.0
69e44f3a000000002301079c,成功,0,0.0
69e44f3a000000002301079c,成功,1,0.0
69e44f3a000000002301079c,成功,2,0.0
69e44f3a000000002301079c,成功,3,0.0
69e44f3a000000002301079c,成功,4,0.0
69e44f3a000000002301079c,成功,5,0.0
69e44f3a000000002301079c,成功,6,0.0
69e44fbf000000001e00cc6a,,0,0.0
69e44fbf000000001e00cc6a,,1,0.0
