帖子id,帖子链接,帖子用户名,机器人状态,人的形象,是否比赛视频,robot_status原文,媒体类型,语言,特点,数据原文件地址
cjDVYqQMEsk,https://www.youtube.com/shorts/cjDVYqQMEsk,7NEWS Australia,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
AGIRDs8-xgI,https://www.youtube.com/shorts/AGIRDs8-xgI,News24,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
xJTQ_dHEDFg,https://www.youtube.com/shorts/xJTQ_dHEDFg,CGTN Sports Scene,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
yvUIUbUfRD8,https://www.youtube.com/shorts/yvUIUbUfRD8,AFP News Agency,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
utIzIaAnP9I,https://www.youtube.com/shorts/utIzIaAnP9I,Next X,常态,服务照护,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
8W5gJL6TmDE,https://www.youtube.com/shorts/8W5gJL6TmDE,CGTN Europe,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
R_VQXmxXI-A,https://www.youtube.com/watch?v=R_VQXmxXI-A,Miao's life,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
aIb9F3x4gxE,https://www.youtube.com/shorts/aIb9F3x4gxE,Tg1,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
bHm1dhcXMiE,https://www.youtube.com/watch?v=bHm1dhcXMiE,RTL Nieuws,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
cdgifwQ1avY,https://www.youtube.com/shorts/cdgifwQ1avY,Associated Press,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
gzUVgMaPH8s,https://www.youtube.com/watch?v=gzUVgMaPH8s,KTLA 5,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
XxaLonuhSYI,https://www.youtube.com/watch?v=XxaLonuhSYI,TODAY,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
_a6ALLb1d-8,https://www.youtube.com/watch?v=_a6ALLb1d-8,RoboFrontier,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
sxv6L5Cj3aI,https://www.youtube.com/watch?v=sxv6L5Cj3aI,APT,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
wNX5UAtjPHw,https://www.youtube.com/shorts/wNX5UAtjPHw,RTÉ News,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
xD08uFPpFUU,https://www.youtube.com/shorts/xD08uFPpFUU,FRANCE 24 Español,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
aB5sta0mju0,https://www.youtube.com/watch?v=aB5sta0mju0,Numerama,强势,被超越者,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
lDOezauftjQ,https://www.youtube.com/shorts/lDOezauftjQ,New York Post,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
3Q-a4TbyTQg,https://www.youtube.com/shorts/3Q-a4TbyTQg,简一指南OneGuide,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
CymerlFeVnU,https://www.youtube.com/shorts/CymerlFeVnU,中国新闻社,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
KyiINgDrI6U,https://www.youtube.com/shorts/KyiINgDrI6U,RANDOMERS HOW TO,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
LfnOqBVhPd8,https://www.youtube.com/shorts/LfnOqBVhPd8,CGTN,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Zt3pNhqViM0,https://www.youtube.com/shorts/Zt3pNhqViM0,Flash Feed Now,弱势,观众,是,可爱（可爱，萌萌哒）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
e4AvAyOCr24,https://www.youtube.com/shorts/e4AvAyOCr24,Cybernews,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
eieL2ZacuXc,https://www.youtube.com/shorts/eieL2ZacuXc,ChinaTourDMC,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
v1-C9anAqlo,https://www.youtube.com/shorts/v1-C9anAqlo,简一指南OneGuide,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
0ZCfluKP2ro,https://www.youtube.com/shorts/0ZCfluKP2ro,CNStories,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
GwNeFRF6604,https://www.youtube.com/watch?v=GwNeFRF6604,ShanghaiEye魔都眼,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
g1ByLBw-MFM,https://www.youtube.com/shorts/g1ByLBw-MFM,USA TODAY,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
zg_gRU57dTY,https://www.youtube.com/watch?v=zg_gRU57dTY,YeXplorer,强势,观众,是,强势（如超高性能，跑得很快）,原视频,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
SERKAWEQtOg,https://www.youtube.com/shorts/SERKAWEQtOg,FRANCE 24 English,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
rnmZzANHZBg,https://www.youtube.com/shorts/rnmZzANHZBg,The MES Times,失败,服务照护,是,失败（如摔倒，失去能力）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
69DRNsXTGd0,https://www.youtube.com/shorts/69DRNsXTGd0,Deepen Tech Explanation,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
CmgWQlwq_CA,https://www.youtube.com/shorts/CmgWQlwq_CA,Techie Sapien,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
HDqbJ_3Peys,https://www.youtube.com/shorts/HDqbJ_3Peys,Financial Times,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
iXG-Kuf5r18,https://www.youtube.com/shorts/iXG-Kuf5r18,Sky Sports News,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
93AoeRT5Zv0,https://www.youtube.com/shorts/93AoeRT5Zv0,New China TV,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Lp_xkSPc01E,https://www.youtube.com/watch?v=Lp_xkSPc01E,News5Everywhere,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
O2ivlsCfWPY,https://www.youtube.com/watch?v=O2ivlsCfWPY,The Independent,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
XIYtz1kxCcE,https://www.youtube.com/shorts/XIYtz1kxCcE,Mo News,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
_GXqW58BSAo,https://www.youtube.com/watch?v=_GXqW58BSAo,La República - LR+,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
uGmq124Syuw,https://www.youtube.com/watch?v=uGmq124Syuw,Firstpost,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
xdrTqvtvlGc,https://www.youtube.com/shorts/xdrTqvtvlGc,Valor Reviews,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
147mPcNif68,https://www.youtube.com/shorts/147mPcNif68,Mohan Kumar Singh,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
IXGj4suHn8M,https://www.youtube.com/watch?v=IXGj4suHn8M,CX Yang,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
J442OS-wLfI,https://www.youtube.com/watch?v=J442OS-wLfI,CGTN America,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Q7O5x96eJnc,https://www.youtube.com/shorts/Q7O5x96eJnc,NBC News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
RhvGv1t7Qkg,https://www.youtube.com/shorts/RhvGv1t7Qkg,Cybernews,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
c9nZYiTOpZI,https://www.youtube.com/shorts/c9nZYiTOpZI,CGTN,常态,服务照护,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
jo7hJnMswuc,https://www.youtube.com/shorts/jo7hJnMswuc,BBC News Tiếng Việt,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
6VSqiLxXVSA,https://www.youtube.com/watch?v=6VSqiLxXVSA,Himanshu Khosla,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Bo68py4NIDo,https://www.youtube.com/watch?v=Bo68py4NIDo,Millard Ayo,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
CtoTZ0g5zEc,https://www.youtube.com/watch?v=CtoTZ0g5zEc,The MES Times,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
DS-4ry5T-RI,https://www.youtube.com/shorts/DS-4ry5T-RI,BBC News اردو,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
F4TOvcTOX64,https://www.youtube.com/shorts/F4TOvcTOX64,简一指南OneGuide,,,否,,,,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Jod0BUcaJUQ,https://www.youtube.com/shorts/Jod0BUcaJUQ,Panda POV,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Z63dCgOTiPk,https://www.youtube.com/shorts/Z63dCgOTiPk,Angry Admin,常态,服务照护,是,常态（正常跑步和运动）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
dgsumjp1uzw,https://www.youtube.com/watch?v=dgsumjp1uzw,CCTV Video News Agency,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
s1AVU66EtTg,https://www.youtube.com/shorts/s1AVU66EtTg,The Moist Vault,失败,服务照护,是,失败（如摔倒，失去能力）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
sYiFfT54F2E,https://www.youtube.com/watch?v=sYiFfT54F2E,Dr. Candise Lin,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
xycI1kdIybA,https://www.youtube.com/watch?v=xycI1kdIybA,Ai Controller,强势,被超越者,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
5pd7fXF7n-Y,https://www.youtube.com/watch?v=5pd7fXF7n-Y,TheGSpot,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
9A2hoGKOX0g,https://www.youtube.com/shorts/9A2hoGKOX0g,CNN-News18,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
AW7avtn7FaA,https://www.youtube.com/shorts/AW7avtn7FaA,The Hidden Truths,强势,被超越者,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
UFDdAzStFUM,https://www.youtube.com/shorts/UFDdAzStFUM,CNA,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
kNDpm5biImk,https://www.youtube.com/shorts/kNDpm5biImk,CGTN Sports Scene,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
liQk0KDNYzk,https://www.youtube.com/shorts/liQk0KDNYzk,Dany Love,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
luodtDg5BFM,https://www.youtube.com/shorts/luodtDg5BFM,Bertjerita,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
waoKDytpu60,https://www.youtube.com/watch?v=waoKDytpu60,CGTN,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
5K0atM1C3q8,https://www.youtube.com/shorts/5K0atM1C3q8,Nico Travesias,强势,被超越者,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
7m19IFb0mr4,https://www.youtube.com/shorts/7m19IFb0mr4,FuturaVault,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
BjwFgOELEV4,https://www.youtube.com/watch?v=BjwFgOELEV4,Sports Insider by DRM,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
FMwnQ3YH9e8,https://www.youtube.com/shorts/FMwnQ3YH9e8,Blumefield,失败,服务照护,是,失败（如摔倒，失去能力）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
PWfd1RrbNi4,https://www.youtube.com/shorts/PWfd1RrbNi4,Indiraஇந்திரா,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
c5U2JrehyXI,https://www.youtube.com/watch?v=c5U2JrehyXI,WION,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ci5HFJQ1yUE,https://www.youtube.com/shorts/ci5HFJQ1yUE,CCTV Video News Agency,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
422WM8530Zs,https://www.youtube.com/watch?v=422WM8530Zs,CCTV Video News Agency,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
8FZ0qudvxMM,https://www.youtube.com/watch?v=8FZ0qudvxMM,TheGSpot,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
8b7J1lVuQZ4,https://www.youtube.com/shorts/8b7J1lVuQZ4,Shanghai Daily,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
CCYKEWKq7S0,https://www.youtube.com/watch?v=CCYKEWKq7S0,TirtoID,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
D9h07j40UWk,https://www.youtube.com/shorts/D9h07j40UWk,Limbo Sakti Channel,混合,服务照护,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
MfjiILlVnkI,https://www.youtube.com/shorts/MfjiILlVnkI,VBear media,常态,观众,是,常态（正常跑步和运动）,原视频,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Ns0bD_UuN6M,https://www.youtube.com/shorts/Ns0bD_UuN6M,CGTN,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Ny_r2mv5KS8,https://www.youtube.com/watch?v=Ny_r2mv5KS8,NewzTech20,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
PbKLwG8RePA,https://www.youtube.com/shorts/PbKLwG8RePA,Reuters,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Y5RFbmhTkRs,https://www.youtube.com/shorts/Y5RFbmhTkRs,Expertise Items,常态,服务照护,是,常态（正常跑步和运动）,原视频,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
c7v_lOc3JZM,https://www.youtube.com/shorts/c7v_lOc3JZM,CGTN Sports Scene,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ct8pUBmtKDo,https://www.youtube.com/watch?v=ct8pUBmtKDo,India Today,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
-7OS81FvaQc,https://www.youtube.com/shorts/-7OS81FvaQc,CGTN Français,混合,服务照护,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
2Hr-1Tmq3aI,https://www.youtube.com/shorts/2Hr-1Tmq3aI,普林斯顿洋插队,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
38UaxpmbgqM,https://www.youtube.com/shorts/38UaxpmbgqM,Darrell Williams,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
3qv_XMIPvOw,https://www.youtube.com/shorts/3qv_XMIPvOw,CNBC-TV18,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
4KPuRsCTn7k,https://www.youtube.com/shorts/4KPuRsCTn7k,简一指南OneGuide,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
7Ux31feNJUU,https://www.youtube.com/shorts/7Ux31feNJUU,Zee Business,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
7z5kI9TQzI0,https://www.youtube.com/shorts/7z5kI9TQzI0,Factz Portal,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
8cVhMtN7sCs,https://www.youtube.com/watch?v=8cVhMtN7sCs,Buletin TV3,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
CXQXC1cK09A,https://www.youtube.com/shorts/CXQXC1cK09A,CGTN,弱势,服务照护,是,可爱（可爱，萌萌哒）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
DPLx0ABm8Kc,https://www.youtube.com/shorts/DPLx0ABm8Kc,Discover Beijing,弱势,服务照护,是,可爱（可爱，萌萌哒）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
GBIR3E58RQY,https://www.youtube.com/shorts/GBIR3E58RQY,Hoài Thu Hà Hoàng,混合,服务照护,是,混合（都有）,原视频,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
IhhG65Qebfo,https://www.youtube.com/shorts/IhhG65Qebfo,CGTN Frontline,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Ju51aXkDkmE,https://www.youtube.com/watch?v=Ju51aXkDkmE,Trendly,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
NwBK8EH5KlY,https://www.youtube.com/watch?v=NwBK8EH5KlY,XRoboHub,混合,观众,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
Y3lGtf5zKSQ,https://www.youtube.com/shorts/Y3lGtf5zKSQ,13News Now,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
geAJ559Rmf0,https://www.youtube.com/shorts/geAJ559Rmf0,8world,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,中文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
hFHJDfCanWU,https://www.youtube.com/shorts/hFHJDfCanWU,Robot Daily,弱势,观众,是,可爱（可爱，萌萌哒）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
iePCOSXaa30,https://www.youtube.com/shorts/iePCOSXaa30,AlMamlaka English,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
ktaPfKTJ17M,https://www.youtube.com/shorts/ktaPfKTJ17M,SMARTnews,强势,服务照护,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
lGuVZaDuTmI,https://www.youtube.com/shorts/lGuVZaDuTmI,KNN NEWS,强势,被超越者,是,强势（如超高性能，跑得很快）,官方新闻,其他,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
lMkFz1tngwg,https://www.youtube.com/watch?v=lMkFz1tngwg,Alan Yu,,,否,,,,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
nrH-6xpBXS4,https://www.youtube.com/shorts/nrH-6xpBXS4,Laboratorium Teknologi Indonesia *Hidden*,强势,服务照护,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/1hPtg3kuDtYbi95FBsBhzY01sHHkYt4PZ/view
