topic_cluster,post_category,relation_type,n_comments,n_hit_comments,hit_rate
9,弱势|评价者,peer_worker,1,0,0.0
9,弱势|评价者,pet_cute,1,0,0.0
9,弱势|评价者,species_competition,1,0,0.0
9,弱势|评价者,tool_toy,1,0,0.0
9,弱势|评价者,warrior_hero,1,0,0.0
9,强势|服务者,parenting,1016,14,0.013779527559055118
9,强势|服务者,peer_worker,1016,4,0.003937007874015748
9,强势|服务者,pet_cute,1016,2,0.001968503937007874
9,强势|服务者,species_competition,1016,40,0.03937007874015748
9,强势|服务者,tool_toy,1016,139,0.13681102362204725
9,强势|服务者,warrior_hero,1016,14,0.013779527559055118
9,成功|被超越者,parenting,96,0,0.0
9,成功|被超越者,peer_worker,96,0,0.0
9,成功|被超越者,pet_cute,96,0,0.0
9,成功|被超越者,species_competition,96,4,0.041666666666666664
9,成功|被超越者,tool_toy,96,3,0.03125
9,成功|被超越者,warrior_hero,96,1,0.010416666666666666
9,成功|观众,parenting,758,12,0.0158311345646438
9,成功|观众,peer_worker,758,8,0.010554089709762533
9,成功|观众,pet_cute,758,4,0.005277044854881266
9,成功|观众,species_competition,758,22,0.029023746701846966
9,成功|观众,tool_toy,758,14,0.018469656992084433
9,成功|观众,warrior_hero,758,8,0.010554089709762533
10,all,parenting,65,1,0.015384615384615385
10,all,peer_worker,65,0,0.0
10,all,pet_cute,65,2,0.03076923076923077
10,all,species_competition,65,5,0.07692307692307693
10,all,tool_toy,65,2,0.03076923076923077
10,all,warrior_hero,65,0,0.0
10,中性|观众,parenting,39,0,0.0
10,中性|观众,peer_worker,39,0,0.0
10,中性|观众,pet_cute,39,0,0.0
10,中性|观众,species_competition,39,0,0.0
10,中性|观众,tool_toy,39,3,0.07692307692307693
10,中性|观众,warrior_hero,39,0,0.0
